Destination,Budget,Company,No. of Days,Range,Season,Mode of Transport,Type of Vacation,No. of Members
Hampi           ,35000, Family           ,4, State , Winter , Air               , Enjoy            ,2
Kanyakumari         ,45000, Family        ,4, State   ,Monsoon, Train          , Relaxation      ,2
Thanjavur           ,40000,  Friends        ,5, State , Any   ,Road              , Cultural        ,3
Rameshwaram         ,40000,Family       ,4, State           ,Any         ,Train,Religious         ,5
Alleppey        ,60000, Family           ,4, State , Winter , Air                , Relaxation       ,5
Rameshwaram         ,70000,Family       ,4, State           ,Any         ,Train    , Adventure      ,2
Mount Abu       ,40000, Family           ,4, State , Winter , Train              , Cultural         ,3
Dwarka           ,40000, Family           ,4, City  , Winter , Air                , Cultural         ,2
Dalhousie        ,45000, Friends       ,5, State , Any   , Road                , Cultural        ,3
Pushkar          ,40000,Family       ,3, State            ,Any        ,Road             ,Relaxation ,4
Ooty               ,50000,Family       ,5, State     ,Any       ,Train  ,Relaxation             ,4
Haridwar        ,30000, Family           ,3, City  , Any    , Road              , Informational    ,2
Cherrapunjee   ,70000,  Family          ,6, State , Summer , Road              , Adventure        ,4
Khajjiar         ,40000, Family          ,4,State   ,Any      , Road              , Enjoy            ,3
Rajasthan       ,35000, Family           ,4, State , Winter , Road              , Cultural         ,2
Kanyakumari     ,45000, Friends          ,4, State , Winter , Air                , Relaxation       ,4
Agra            ,25000, Friends     ,3, State  , Any    ,Road              ,Cultural         ,2
Jaisalmer       ,50000, Friends          ,5, State , Winter , Road               , Adventure        ,4
Gokarna         ,40000, Friends          ,4, State , Any    , Road               , Relaxation       ,3
Mumbai          ,35000, Family           ,4, City  , Any    , Train             , Enjoy            ,4
Nainital        ,35000, Family           ,5, State , Summer , Train             , Adventure        ,4
Shimla          ,50000, Family           ,7, State , Winter , Air                , Adventure        ,3
Kanha NP         ,50000,Friends      ,5, State       ,Winter   ,Train  ,Cultural          ,3
Mahabalipuram      ,35000, Family          ,3, State , Summer , Train              , Cultural         ,4
Andaman         ,35000, Family           ,7, State , Any    , Road              , Adventure        ,3
Bikaner         ,50000, Friends          ,5, State , Winter , Road              , Adventure        ,4
Puri             ,35000,  Friends        ,3, State , Winter, Road              , Adventure       ,4
Rann of Kutch   ,30000, Friends          ,4, State , Summer , Train             , Adventure        ,4
Rameshwaram      ,40000, Family          ,4, State , Any   ,Road         , Religious        ,3
Bhimbetka        ,40000,Family       ,3, State    ,Any     , Road        ,Cultural             ,3
Mandu            ,35000, Friends          ,5, State , Summer , Road              , Adventure        ,3
Alleppey        ,40000, Friends          ,4, State , Winter , Road               , Relaxation       ,3
Haridwar        ,30000, Friends          ,3, State , Any    , Road              , Devotional       ,5
Jaisalmer       ,45000, Friends          ,5, State , Winter , Road              , Adventure        ,4
Lonavala         ,55000,Friends      ,3, State   ,Any        ,Road       ,Cultural               ,4
Rameshwaram      ,40000,Family       ,4, State    ,Any      , Road              ,Religious            ,5
Vrindavan        ,35000, Family          ,3, State , Any    , Train             , Informational    ,3
Jaisalmer       ,55000, Family           ,6, State , Winter , Road               , Adventure        ,4
Mahabalipuram       ,35000, Family           ,4, State , Any    , Road              , Relaxation       ,2
Yercaud          ,45000, Friends        ,4, State   ,Winter   , Road              , Adventure       ,3
Kanyakumari         ,50000, Family          ,4,  State, Winter , Road              , Adventure       ,2
Coonoor           ,35000, Family          ,3, State , Any , Road             , Adventure       ,2
Puri            ,40000, Family           ,4, State , Any    , Road               , Enjoy            ,3
Ziro Valley      ,70000, Friends           ,5, State , Any   , Road               , Adventure        ,4
Kanyakumari     ,40000, Friends          ,4, State , Winter , Air               , Relaxation       ,4
Coonoor          ,35000, Family           ,3, State , Any    , Road              , Cultural         ,2
Kanyakumari     ,45000, Family           ,4, State , Winter , Train             , Relaxation       ,4
Yercaud          ,35000, Friends         ,4, State   , Any , Road             , Cultural         ,3
Ajanta Ellora    ,45000, Family           ,4,  State, Any    , Road              ,Relaxation              ,3
Tiruchirapalli      ,30000, Family          ,3, State , Any   , Air               , Informational    ,3
Pondicherry     ,40000, Family           ,3, State , Any    , Road               , Relaxation       ,4
Haridwar        ,40000, Family           ,3, State , Any    , Road              , Relaxation       ,2
Satpura NP       ,40000, Family          ,3, State , Summer , Road              , Adventure       ,4
Panhala          ,35000, Family        ,4, State , Any    , Road              , Adventure       ,2
Rameshwaram     ,40000,Family       ,4, State        ,Any      , Road        , Relaxation      ,2
Shirdi          ,30000, Friends          ,3, City  , Any    , Air                , Informational    ,5
Matheran         ,55000, Family           ,4, State , Monsoon, Helicopter        , Cultural         ,2
Bikaner         ,50000, Family           ,5, State , Summer , Road              , Adventure        ,4
